canonical_composer,canonical_title,split,year,midi_filename,audio_filename,duration,melody_filename
Alban Berg,Sonata Op. 1,train,2018,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.wav,698.661160312,2018-melody/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018-melody_wav--1-melody.midi
Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19",train,2018,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.midi,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.wav,701.147803125,2018-melody/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018-melody_wav--4-melody.midi
Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19",train,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.wav,685.005992344,2018-melody/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018-melody_wav--2-melody.midi
Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",train,2018,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.wav,1120.09102734,2018-melody/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018-melody_wav--2-melody.midi
Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",train,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.wav,1195.01082422,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018-melody_wav--2-melody.midi
Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",train,2018,2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.midi,2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.wav,1117.95828375,2018-melody/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018-melody_wav--2-melody.midi
Alexander Scriabin,"Sonata No. 5, Op. 53",train,2018,2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.wav,701.4883476560001,2018-melody/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018-melody_wav--2-melody.midi
Alexander Scriabin,"Sonata No. 9, Op. 68, ""Black Mass""",test,2018,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.wav,520.215825937,2018-melody/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018-melody_wav--1-melody.midi
Claude Debussy,"Images, Book II",train,2018,2018/MIDI-Unprocessed_Recital20_MID--AUDIO_20_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital20_MID--AUDIO_20_R1_2018_wav--3.wav,845.710959844,2018-melody/MIDI-Unprocessed_Recital20_MID--AUDIO_20_R1_2018-melody_wav--3-melody.midi
Claude Debussy,"L'isle joyeuse, L. 106",train,2018,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--4.midi,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--4.wav,349.685814844,2018-melody/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018-melody_wav--4-melody.midi
Claude Debussy,"Prelude No. 6, Book I, ""Des pas sur la neige""",test,2018,2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.wav,247.761504375,2018-melody/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018-melody_wav--3-melody.midi
Claude Debussy,"Prelude No. 7, Book II, La terrasse des audiences du clair de lune",train,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--3.wav,297.192544688,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018-melody_wav--3-melody.midi
César Franck,"Prelude, Choral et Fugue",validation,2018,2018/MIDI-Unprocessed_Recital8_MID--AUDIO_08_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital8_MID--AUDIO_08_R1_2018_wav--2.wav,1054.57827234,2018-melody/MIDI-Unprocessed_Recital8_MID--AUDIO_08_R1_2018-melody_wav--2-melody.midi
César Franck,"Prelude, Choral et Fugue",validation,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--5.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--5.wav,1021.9006875,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018-melody_wav--5-melody.midi
César Franck,"Prelude, Fugue et Variation, Op. 18, Arrangement Delle Vigne",train,2018,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--2.wav,632.269666875,2018-melody/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018-melody_wav--2-melody.midi
Domenico Scarlatti,"Sonata in B Minor, K. 87",train,2018,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--3.wav,294.075560625,2018-melody/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018-melody_wav--3-melody.midi
Domenico Scarlatti,"Sonata in D Major, K96",test,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--3.wav,140.121387656,2018-melody/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018-melody_wav--3-melody.midi
Domenico Scarlatti,"Sonata in D Minor, K. 141",train,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--6.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--6.wav,194.77277531200002,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018-melody_wav--6-melody.midi
Domenico Scarlatti,"Sonata in D Minor, K. 213",test,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--5.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--5.wav,214.695298125,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018-melody_wav--5-melody.midi
Franz Liszt,"Grandes Etudes de Paganini, S. 141",train,2018,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--3.wav,1610.85576094,2018-melody/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018-melody_wav--3-melody.midi
Franz Liszt,"Rhapsodie Espagnole, S. 254",train,2018,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--2.wav,794.9791729689999,2018-melody/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018-melody_wav--2-melody.midi
Franz Liszt,"Sonata In B Minor, S. 178",train,2018,2018/MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--5.midi,2018/MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--5.wav,1700.13318234,2018-melody/MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018-melody_wav--5-melody.midi
Franz Liszt,"Transcendental Etude No. 10 in F Minor, S. 139/10",test,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--3.wav,235.22412375,2018-melody/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018-melody_wav--3-melody.midi
Franz Liszt,"Transcendental Etude No. 12 ""Chasse-neige""",validation,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--4.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--4.wav,269.271899531,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018-melody_wav--4-melody.midi
Franz Liszt,"Venezia e Napoli, S. 162",train,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--4.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--4.wav,990.9138060939999,2018-melody/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018-melody_wav--4-melody.midi
Franz Schubert,Impromptu Op. 90 No. 1,train,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--1.wav,566.467115156,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018-melody_wav--1-melody.midi
Franz Schubert,Impromptus Op. 90,train,2018,2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--3.wav,644.3890457809999,2018-melody/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018-melody_wav--3-melody.midi
Franz Schubert,"Sonata in A Major, D959",train,2018,2018/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_07_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_07_R2_2018_wav.wav,2244.51297984,2018-melody/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_07_R2_2018-melody_wav-melody.midi
Franz Schubert,"Sonata in A Minor, D784",test,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--1.wav,1371.54510281,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018-melody_wav--1-melody.midi
Franz Schubert,"Sonata in A Minor, D845",train,2018,2018/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_02_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_02_R2_2018_wav.wav,1846.46449969,2018-melody/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_02_R2_2018-melody_wav-melody.midi
Franz Schubert,"Sonata in B-flat Major, D960",train,2018,2018/MIDI-Unprocessed_Schubert4-6_MID--AUDIO_09_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert4-6_MID--AUDIO_09_R2_2018_wav.wav,2561.10988547,2018-melody/MIDI-Unprocessed_Schubert4-6_MID--AUDIO_09_R2_2018-melody_wav-melody.midi
Franz Schubert,"Sonata in B-flat Major, D960",train,2018,2018/MIDI-Unprocessed_Schubert4-6_MID--AUDIO_10_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert4-6_MID--AUDIO_10_R2_2018_wav.wav,2421.89528109,2018-melody/MIDI-Unprocessed_Schubert4-6_MID--AUDIO_10_R2_2018-melody_wav-melody.midi
Franz Schubert,"Sonata in C Minor, D958",train,2018,2018/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_05_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_05_R2_2018_wav.wav,1743.52523297,2018-melody/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_05_R2_2018-melody_wav-melody.midi
Franz Schubert,"Sonata in C Minor, D958",train,2018,2018/MIDI-Unprocessed_Schubert4-6_MID--AUDIO_08_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert4-6_MID--AUDIO_08_R2_2018_wav.wav,1749.02602875,2018-melody/MIDI-Unprocessed_Schubert4-6_MID--AUDIO_08_R2_2018-melody_wav-melody.midi
Franz Schubert,"Sonata in C Minor, D958",train,2018,2018/MIDI-Unprocessed_Schubert7-9_MID--AUDIO_11_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert7-9_MID--AUDIO_11_R2_2018_wav.wav,1631.10547359,2018-melody/MIDI-Unprocessed_Schubert7-9_MID--AUDIO_11_R2_2018-melody_wav-melody.midi
Franz Schubert,"Sonata in C Minor, D958",train,2018,2018/MIDI-Unprocessed_Schubert7-9_MID--AUDIO_16_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert7-9_MID--AUDIO_16_R2_2018_wav.wav,1758.36229078,2018-melody/MIDI-Unprocessed_Schubert7-9_MID--AUDIO_16_R2_2018-melody_wav-melody.midi
Franz Schubert,"Sonata in D Major, D850",train,2018,2018/MIDI-Unprocessed_Schubert10-12_MID--AUDIO_20_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert10-12_MID--AUDIO_20_R2_2018_wav.wav,2346.84060188,2018-melody/MIDI-Unprocessed_Schubert10-12_MID--AUDIO_20_R2_2018-melody_wav-melody.midi
Franz Schubert,Sonata in G Major D894,train,2018,2018/MIDI-Unprocessed_Schubert7-9_MID--AUDIO_15_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert7-9_MID--AUDIO_15_R2_2018_wav.wav,2076.61384219,2018-melody/MIDI-Unprocessed_Schubert7-9_MID--AUDIO_15_R2_2018-melody_wav-melody.midi
Franz Schubert,Sonata in G Major D894,train,2018,2018/MIDI-Unprocessed_Schubert10-12_MID--AUDIO_17_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert10-12_MID--AUDIO_17_R2_2018_wav.wav,1898.29804828,2018-melody/MIDI-Unprocessed_Schubert10-12_MID--AUDIO_17_R2_2018-melody_wav-melody.midi
Franz Schubert,Sonata in G Major D894,train,2018,2018/MIDI-Unprocessed_Schubert10-12_MID--AUDIO_18_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert10-12_MID--AUDIO_18_R2_2018_wav.wav,1990.15425984,2018-melody/MIDI-Unprocessed_Schubert10-12_MID--AUDIO_18_R2_2018-melody_wav-melody.midi
Franz Schubert / Franz Liszt,Der Mueller und der Bach,validation,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--3.wav,301.624965469,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018-melody_wav--3-melody.midi
Franz Schubert / Franz Liszt,Gretchen am Spinnrade,test,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--2.wav,199.135751719,2018-melody/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018-melody_wav--2-melody.midi
Frédéric Chopin,"Sonata No. 2 in B-flat Minor, Op. 35",test,2018,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_06_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_06_R1_2018_wav--3.wav,1461.01216078,2018-melody/MIDI-Unprocessed_Recital5-7_MID--AUDIO_06_R1_2018-melody_wav--3-melody.midi
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58",train,2018,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_13_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_13_R1_2018_wav--3.wav,1639.91556094,2018-melody/MIDI-Unprocessed_Recital13-15_MID--AUDIO_13_R1_2018-melody_wav--3-melody.midi
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58",train,2018,2018/MIDI-Unprocessed_Chamber5_MID--AUDIO_18_R3_2018_wav--1.midi,2018/MIDI-Unprocessed_Chamber5_MID--AUDIO_18_R3_2018_wav--1.wav,1607.37152297,2018-melody/MIDI-Unprocessed_Chamber5_MID--AUDIO_18_R3_2018-melody_wav--1-melody.midi
George Frideric Handel,"Chaconne in G Major, HWV 435",train,2018,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--1.wav,328.904585625,2018-melody/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018-melody_wav--1-melody.midi
